User Device Type,Duration(sec),Paket Loss Rate(Reliability),Packet Delay Budget( Latency(ms)),Bandwidth(GHz),Delay Rate(Mbps),Speed(Mbps),Jitter(ps),Modulation Type,Slice Type
SmartPhone,100,1.00E-06,10,38,1000,2554,7.70E+07,FBMC,mMTC
SmartPhone,60,1.00E-05,20,60,10500,121,7.50E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,25,29,300,2804,7.50E+07,FBMC,mMTC
SmartPhone,600,0.0001,10,29,900,869,1.80E+07,FBMC,mMTC
SmartPhone,600,1.00E-05,50,50,10000,1184,4.30E+07,FBMC,mMTC
SmartPhone,300,1.00E-05,28,30,900,2040,2.00E+07,FBMC,mMTC
SmartPhone,240,0.01,40,30,900,480,1.90E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,20,50,900,2003,3.70E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,40,40,10500,2830,3.30E+07,FBMC,mMTC
SmartPhone,100,0.001,15,40,1700,2204,1.80E+07,FBMC,mMTC
SmartPhone,180,0.01,28,60,1000,668,6.50E+07,FBMC,mMTC
SmartPhone,600,0.01,40,29,300,234,1.00E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,28,38,1700,328,7.50E+06,FBMC,mMTC
SmartPhone,100,0.01,50,38,900,1379,4.50E+07,FBMC,mMTC
SmartPhone,600,0.01,50,38,1700,2873,4.50E+07,FBMC,mMTC
SmartPhone,60,0.01,15,38,1000,1426,1.80E+07,FBMC,mMTC
SmartPhone,240,0.01,28,50,10500,881,1.90E+07,FBMC,mMTC
SmartPhone,100,1.00E-05,40,38,17500,1311,6.50E+07,FBMC,mMTC
SmartPhone,60,0.01,40,50,17500,1820,3.30E+07,FBMC,mMTC
SmartPhone,60,0.01,15,45,10500,1668,7.50E+07,FBMC,mMTC
SmartPhone,180,1.00E-05,50,38,10000,1890,7.70E+07,FBMC,mMTC
SmartPhone,180,0.01,10,45,300,1711,1.00E+07,FBMC,mMTC
SmartPhone,300,1.00E-05,40,45,900,2405,2.00E+07,FBMC,mMTC
SmartPhone,60,0.01,50,50,1700,2502,7.70E+07,FBMC,mMTC
SmartPhone,240,0.01,10,29,900,548,7.70E+07,FBMC,mMTC
SmartPhone,100,0.01,15,29,10000,1935,6.50E+07,FBMC,mMTC
SmartPhone,100,0.01,50,50,1000,1665,1.90E+07,FBMC,mMTC
SmartPhone,60,0.001,28,38,900,1513,7.50E+07,FBMC,mMTC
SmartPhone,120,1.00E-06,40,45,1000,2264,4.50E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,40,50,300,182,2.00E+07,FBMC,mMTC
SmartPhone,300,0.001,40,40,10000,2958,1.00E+07,FBMC,mMTC
SmartPhone,180,0.01,28,50,1700,2613,4.50E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,10,50,10500,246,4.50E+07,FBMC,mMTC
SmartPhone,240,1.00E-05,40,29,10500,1318,3.30E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,20,60,300,2391,3.30E+07,FBMC,mMTC
SmartPhone,240,0.01,28,50,17500,2017,2.00E+07,FBMC,mMTC
SmartPhone,120,0.01,40,50,1000,1639,3.70E+07,FBMC,mMTC
SmartPhone,60,0.0001,25,38,1000,2366,6.50E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,50,38,10500,2052,7.70E+07,FBMC,mMTC
SmartPhone,100,0.001,28,29,17500,54,1.00E+07,FBMC,mMTC
SmartPhone,60,1.00E-05,40,38,10500,1999,4.50E+07,FBMC,mMTC
SmartPhone,60,0.01,15,60,10500,1346,1.00E+07,FBMC,mMTC
SmartPhone,100,0.01,25,40,300,972,1.80E+07,FBMC,mMTC
SmartPhone,300,0.001,15,38,1000,1473,4.50E+07,FBMC,mMTC
SmartPhone,100,0.0001,40,29,300,1885,2.00E+07,FBMC,mMTC
SmartPhone,240,0.0001,28,38,900,2115,1.80E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,15,50,1000,104,1.90E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,15,40,10500,1997,6.50E+07,FBMC,mMTC
SmartPhone,60,1.00E-05,25,30,900,1223,1.80E+07,FBMC,mMTC
SmartPhone,180,0.001,40,60,10500,427,2.00E+07,FBMC,mMTC
SmartPhone,240,0.01,50,45,1700,2776,1.90E+07,FBMC,mMTC
SmartPhone,300,1.00E-06,25,38,900,1360,3.30E+07,FBMC,mMTC
SmartPhone,60,1.00E-05,40,29,10000,2048,1.00E+07,FBMC,mMTC
SmartPhone,100,0.0001,15,50,10000,2097,7.50E+06,FBMC,mMTC
SmartPhone,300,1.00E-06,28,38,10000,1923,3.30E+07,FBMC,mMTC
SmartPhone,120,0.01,18,29,1700,1031,1.80E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,28,29,1000,1825,7.70E+07,FBMC,mMTC
SmartPhone,180,0.01,50,30,300,615,4.50E+07,FBMC,mMTC
SmartPhone,300,0.01,50,50,900,2599,1.00E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,25,50,900,470,1.90E+07,FBMC,mMTC
SmartPhone,60,0.01,28,29,300,2507,7.50E+07,FBMC,mMTC
SmartPhone,120,1.00E-05,28,50,1700,2493,3.70E+07,FBMC,mMTC
SmartPhone,60,1.00E-06,50,29,900,497,4.30E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,25,40,10500,2295,3.70E+07,FBMC,mMTC
SmartPhone,120,0.01,40,50,300,1833,4.50E+07,FBMC,mMTC
SmartPhone,600,0.01,50,40,1700,1577,1.90E+07,FBMC,mMTC
SmartPhone,60,0.01,18,29,300,1531,7.70E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,25,40,1700,2784,3.30E+07,FBMC,mMTC
SmartPhone,300,0.01,28,29,900,2871,1.80E+07,FBMC,mMTC
SmartPhone,300,0.01,25,40,300,1198,7.50E+07,FBMC,mMTC
SmartPhone,100,1.00E-05,50,29,300,2262,1.80E+07,FBMC,mMTC
SmartPhone,240,1.00E-05,50,38,1000,2247,1.90E+07,FBMC,mMTC
SmartPhone,240,0.01,25,45,1000,177,4.50E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,50,40,10000,602,4.50E+07,FBMC,mMTC
SmartPhone,300,0.01,15,29,1700,2769,4.50E+07,FBMC,mMTC
SmartPhone,100,0.01,40,29,17500,1051,1.90E+07,FBMC,mMTC
SmartPhone,180,0.0001,10,38,10000,278,4.50E+07,FBMC,mMTC
SmartPhone,240,0.01,18,50,17500,2692,7.50E+06,FBMC,mMTC
SmartPhone,100,0.01,18,50,1700,2706,1.80E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,50,38,900,660,7.70E+07,FBMC,mMTC
SmartPhone,600,0.01,20,60,10000,764,3.30E+07,FBMC,mMTC
SmartPhone,60,0.001,20,38,1700,528,4.50E+07,FBMC,mMTC
SmartPhone,300,0.01,10,45,1000,635,1.90E+07,FBMC,mMTC
SmartPhone,60,1.00E-05,40,38,1000,1367,4.50E+07,FBMC,mMTC
SmartPhone,300,0.01,10,45,10000,1859,1.90E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,50,29,1000,1908,1.80E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,20,50,1700,135,4.50E+07,FBMC,mMTC
SmartPhone,120,0.01,50,50,1700,1087,3.70E+07,FBMC,mMTC
SmartPhone,300,1.00E-06,20,60,300,1622,7.50E+06,FBMC,mMTC
SmartPhone,100,0.01,20,30,300,956,4.50E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,50,45,900,1361,1.00E+07,FBMC,mMTC
SmartPhone,300,1.00E-06,50,30,17500,1662,6.50E+07,FBMC,mMTC
SmartPhone,120,1.00E-06,28,45,300,1085,1.90E+07,FBMC,mMTC
SmartPhone,100,0.01,20,38,10500,597,1.90E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,20,50,17500,508,3.70E+07,FBMC,mMTC
SmartPhone,240,0.01,28,38,1000,2558,7.70E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,10,40,10500,2120,1.90E+07,FBMC,mMTC
SmartPhone,300,0.0001,50,30,10500,1049,4.50E+07,FBMC,mMTC
SmartPhone,240,1.00E-05,25,40,1000,263,7.70E+07,FBMC,mMTC
SmartPhone,300,1.00E-06,50,30,10000,283,4.30E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,25,29,1000,2331,2.00E+07,FBMC,mMTC
SmartPhone,120,0.01,50,60,900,211,1.80E+07,FBMC,mMTC
SmartPhone,240,0.001,40,40,1700,534,6.50E+07,FBMC,mMTC
SmartPhone,100,1.00E-05,25,40,1700,1764,1.80E+07,FBMC,mMTC
SmartPhone,300,0.01,40,38,900,877,2.00E+07,FBMC,mMTC
SmartPhone,300,1.00E-06,28,40,10500,2398,1.80E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,40,38,10000,552,4.30E+07,FBMC,mMTC
SmartPhone,600,0.01,10,40,10500,562,7.50E+06,FBMC,mMTC
SmartPhone,60,0.01,50,40,10500,1089,4.30E+07,FBMC,mMTC
SmartPhone,120,0.01,10,50,10500,1423,7.50E+06,FBMC,mMTC
SmartPhone,600,0.01,25,40,900,341,1.80E+07,FBMC,mMTC
SmartPhone,120,1.00E-06,40,50,1000,2193,2.00E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,15,50,300,626,1.90E+07,FBMC,mMTC
SmartPhone,300,0.01,20,38,10000,1666,2.00E+07,FBMC,mMTC
SmartPhone,300,0.01,50,40,17500,794,4.30E+07,FBMC,mMTC
SmartPhone,240,0.01,25,40,10000,2209,7.50E+07,FBMC,mMTC
SmartPhone,60,1.00E-06,40,50,300,408,3.70E+07,FBMC,mMTC
SmartPhone,180,1.00E-06,20,30,900,1601,4.30E+07,FBMC,mMTC
SmartPhone,120,0.01,40,40,900,2030,1.90E+07,FBMC,mMTC
SmartPhone,120,0.01,50,30,1000,1148,3.30E+07,FBMC,mMTC
SmartPhone,300,1.00E-05,25,50,10500,2242,6.50E+07,FBMC,mMTC
SmartPhone,100,0.01,28,60,1700,2201,7.50E+06,FBMC,mMTC
SmartPhone,600,0.01,25,60,1000,874,2.00E+07,FBMC,mMTC
SmartPhone,240,0.01,20,38,1700,1633,7.50E+07,FBMC,mMTC
SmartPhone,100,0.01,50,30,300,2811,7.50E+07,FBMC,mMTC
SmartPhone,600,1.00E-05,28,40,10500,885,1.90E+07,FBMC,mMTC
SmartPhone,600,0.01,28,38,1000,2711,1.00E+07,FBMC,mMTC
SmartPhone,300,1.00E-05,18,40,900,2592,1.80E+07,FBMC,mMTC
SmartPhone,100,0.01,50,60,300,2825,4.50E+07,FBMC,mMTC
SmartPhone,300,1.00E-06,40,60,10500,1339,1.80E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,15,29,10000,1504,6.50E+07,FBMC,mMTC
SmartPhone,300,0.01,20,50,1700,589,4.50E+07,FBMC,mMTC
SmartPhone,300,1.00E-05,40,40,300,1869,1.80E+07,FBMC,mMTC
SmartPhone,120,0.0001,20,50,10500,383,3.70E+07,FBMC,mMTC
SmartPhone,60,0.0001,50,45,1700,1276,7.50E+06,FBMC,mMTC
SmartPhone,240,0.0001,25,50,10500,735,3.70E+07,FBMC,mMTC
SmartPhone,300,1.00E-06,15,40,17500,2589,1.90E+07,FBMC,mMTC
SmartPhone,120,1.00E-05,25,45,900,765,6.50E+07,FBMC,mMTC
SmartPhone,60,1.00E-06,15,30,900,1516,7.50E+07,FBMC,mMTC
SmartPhone,120,0.01,15,29,10000,1655,1.90E+07,FBMC,mMTC
SmartPhone,600,1.00E-05,20,29,1000,1067,1.00E+07,FBMC,mMTC
SmartPhone,600,0.001,40,40,10000,98,6.50E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,18,38,10000,518,4.50E+07,FBMC,mMTC
SmartPhone,120,0.01,15,50,1000,964,7.70E+07,FBMC,mMTC
SmartPhone,60,1.00E-06,50,50,1000,475,1.90E+07,FBMC,mMTC
SmartPhone,120,0.01,25,38,900,2827,1.80E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,10,50,10500,1487,4.50E+07,FBMC,mMTC
SmartPhone,60,1.00E-05,50,50,300,397,2.00E+07,FBMC,mMTC
SmartPhone,100,1.00E-05,50,29,300,1226,1.80E+07,FBMC,mMTC
SmartPhone,600,1.00E-05,25,50,10000,2486,7.50E+07,FBMC,mMTC
SmartPhone,600,0.01,25,50,17500,1138,6.50E+07,FBMC,mMTC
SmartPhone,600,0.01,10,40,300,685,2.00E+07,FBMC,mMTC
SmartPhone,240,0.01,20,40,900,2983,4.30E+07,FBMC,mMTC
SmartPhone,60,0.01,40,45,1700,1410,6.50E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,50,50,1000,1408,7.70E+07,FBMC,mMTC
SmartPhone,60,1.00E-06,50,50,900,2136,1.80E+07,FBMC,mMTC
SmartPhone,600,0.001,50,40,10500,981,6.50E+07,FBMC,mMTC
SmartPhone,240,0.01,40,50,10000,1543,6.50E+07,FBMC,mMTC
SmartPhone,60,0.01,28,38,10000,136,7.50E+06,FBMC,mMTC
SmartPhone,300,1.00E-06,15,50,1700,1336,1.80E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,40,30,10500,2817,7.50E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,28,29,1000,585,7.70E+07,FBMC,mMTC
SmartPhone,240,0.01,25,29,10500,2532,3.70E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,25,40,17500,2894,7.70E+07,FBMC,mMTC
SmartPhone,120,0.01,50,29,1000,2232,7.50E+07,FBMC,mMTC
SmartPhone,600,0.01,40,40,10500,831,2.00E+07,FBMC,mMTC
SmartPhone,300,1.00E-05,10,45,10500,2980,1.90E+07,FBMC,mMTC
SmartPhone,600,0.0001,28,29,900,2403,1.90E+07,FBMC,mMTC
SmartPhone,100,0.01,20,30,300,2680,7.70E+07,FBMC,mMTC
SmartPhone,240,1.00E-05,50,50,10500,1629,3.70E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,28,29,900,2381,3.70E+07,FBMC,mMTC
SmartPhone,240,0.01,28,50,1700,878,4.50E+07,FBMC,mMTC
SmartPhone,300,0.01,28,50,10500,418,3.30E+07,FBMC,mMTC
SmartPhone,600,1.00E-06,10,29,300,1981,4.50E+07,FBMC,mMTC
SmartPhone,240,0.01,15,45,300,1464,4.30E+07,FBMC,mMTC
SmartPhone,100,0.01,25,29,10500,1921,1.00E+07,FBMC,mMTC
SmartPhone,240,0.0001,50,60,300,2260,1.80E+07,FBMC,mMTC
SmartPhone,240,0.0001,50,40,10000,1745,7.70E+07,FBMC,mMTC
SmartPhone,240,1.00E-05,40,60,900,1556,4.50E+07,FBMC,mMTC
SmartPhone,180,1.00E-06,50,38,900,1185,7.50E+07,FBMC,mMTC
SmartPhone,240,0.01,40,29,300,1855,7.50E+07,FBMC,mMTC
SmartPhone,300,0.01,15,40,300,2974,2.00E+07,FBMC,mMTC
SmartPhone,100,0.01,50,40,900,2197,3.30E+07,FBMC,mMTC
SmartPhone,60,0.01,50,29,17500,1378,7.50E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,40,50,300,1166,1.90E+07,FBMC,mMTC
SmartPhone,60,0.01,25,45,1700,1397,4.50E+07,FBMC,mMTC
SmartPhone,300,0.0001,15,50,1000,937,1.90E+07,FBMC,mMTC
SmartPhone,120,1.00E-05,50,38,300,2312,2.00E+07,FBMC,mMTC
SmartPhone,60,0.01,20,29,17500,1349,4.30E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,18,45,1700,196,5.00E+07,FBMC,mMTC
SmartPhone,180,0.01,50,45,1000,2168,7.50E+07,FBMC,mMTC
SmartPhone,240,1.00E-05,20,40,1000,872,7.50E+06,FBMC,mMTC
SmartPhone,300,0.01,50,45,10500,824,5.00E+07,FBMC,mMTC
SmartPhone,240,0.0001,40,50,1000,2788,6.50E+07,FBMC,mMTC
SmartPhone,300,0.01,50,38,10000,350,2.00E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,15,29,900,931,4.50E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,20,40,10500,1446,1.00E+07,FBMC,mMTC
SmartPhone,300,0.01,50,50,1700,1827,2.00E+07,FBMC,mMTC
SmartPhone,240,1.00E-05,15,50,1000,998,3.30E+07,FBMC,mMTC
SmartPhone,300,0.0001,40,60,900,145,1.00E+07,FBMC,mMTC
SmartPhone,240,0.01,50,40,900,1807,7.50E+06,FBMC,mMTC
SmartPhone,600,1.00E-06,28,29,900,1575,3.30E+07,FBMC,mMTC
SmartPhone,100,1.00E-05,40,29,1700,2099,2.00E+07,FBMC,mMTC
SmartPhone,600,0.0001,40,40,300,237,3.70E+07,FBMC,mMTC
SmartPhone,60,1.00E-05,40,29,300,2648,7.70E+07,FBMC,mMTC
SmartPhone,240,1.00E-05,20,29,1000,910,2.00E+07,FBMC,mMTC
SmartPhone,100,0.01,50,30,300,1582,1.80E+07,FBMC,mMTC
SmartPhone,100,1.00E-05,50,50,1000,2379,4.30E+07,FBMC,mMTC
SmartPhone,600,1.00E-05,15,38,10000,2752,4.30E+07,FBMC,mMTC
SmartPhone,240,0.01,28,50,300,1811,3.70E+07,FBMC,mMTC
SmartPhone,300,0.001,40,45,1000,2116,6.50E+07,FBMC,mMTC
SmartPhone,300,0.001,28,40,300,1536,6.50E+07,FBMC,mMTC
SmartPhone,240,0.01,28,29,17500,2628,4.30E+07,FBMC,mMTC
SmartPhone,100,1.00E-06,28,38,900,2552,4.50E+07,FBMC,mMTC
SmartPhone,60,1.00E-06,50,60,1700,664,4.50E+07,FBMC,mMTC
SmartPhone,240,1.00E-05,10,50,10500,2505,1.80E+07,FBMC,mMTC
SmartPhone,600,0.01,18,50,10000,2991,2.00E+07,FBMC,mMTC
SmartPhone,120,0.01,50,29,10500,826,4.50E+07,FBMC,mMTC
SmartPhone,600,0.0001,20,38,1000,381,4.50E+07,FBMC,mMTC
SmartPhone,100,0.01,28,40,300,2823,3.70E+07,FBMC,mMTC
SmartPhone,100,0.01,40,45,300,1147,3.30E+07,FBMC,mMTC
SmartPhone,180,0.01,20,38,10500,1643,4.50E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,28,40,10500,969,4.50E+07,FBMC,mMTC
SmartPhone,100,0.001,50,29,900,739,3.70E+07,FBMC,mMTC
SmartPhone,240,1.00E-06,50,29,900,968,1.00E+07,FBMC,mMTC
SmartPhone,300,1.00E-06,15,50,10500,1753,6.50E+07,FBMC,mMTC
SmartPhone,120,0.01,25,29,900,1881,3.30E+07,FBMC,mMTC
